개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,2009,20090410,폐업,2017,20170420,서울,"서울특별시 강남구 영동대로 325 (대치동,대치3동 해암빌딩 지하2층)",삼원휴스포(20)[6레인]
수영장업,2009,20090626,폐업,2017,20170103,경기,경기도 파주시 동서대로 700 (야당동),빅토리수영장
수영장업,2011,20110216,폐업,2017,20171019,경기,"경기도 용인시 수지구 현암로 73 (죽전동,지하1층)",K&D스포츠클럽
수영장업,2011,20110713,폐업,2017,20170614,부산,부산광역시 북구 덕천로 0 (덕천동),아이스 온 아트
수영장업,2013,20130724,폐업,2017,20171019,경기,경기도 화성시 반월북길 49 (반월동),아이월드
수영장업,1999,19990218,폐업,2017,20170727,대구,대구광역시 달성군 다사읍 달구벌대로 790,삼산스포츠
수영장업,2003,20030826,폐업,2017,20170914,강원,강원도 원주시 흥업면 무수막1길 44,연세스포츠센터수영장
수영장업,2012,20121012,폐업,2017,20170613,서울,서울특별시 송파구 양재대로72길 17 (오금동),퍼니퍼니
수영장업,2016,20160325,폐업,2017,20171026,서울,"서울특별시 관악구 조원로 67, 지층 (신림동, 서울조원초등학교)",한국체육산업개발 주식회사
수영장업,1982,19820317,폐업,2017,20170804,경상,경상남도 창녕군 부곡면 온천중앙로 77,부곡하와이 수영장
수영장업,2007,20070612,폐업,2017,20170828,경상,경상북도 구미시 금오산로 341 (남통동),금오랜드수영장
수영장업,2017,20170413,폐업,2017,20170901,경기,"경기도 고양시 덕양구 고양대로1670번길 88, 지층 (원흥동)",무지개 수영교실
수영장업,2002,20020503,폐업,2017,20170405,대구,대구광역시 수성구 달구벌대로528길 15 (만촌동),강산스포츠센터
수영장업,2011,20111006,폐업,2017,20171013,대구,"대구광역시 수성구 동대구로 59, C동 B3층 (두산동, 대우트럼프월드수성아파트)",비잔휘트니스
수영장업,2011,20110630,폐업,2017,20170518,대구,"대구광역시 수성구 팔현길 212 (만촌동, 호텔인터불고)",(주)즐거운세상 인터불고호텔 실외수영장
수영장업,2014,20140922,폐업,2017,20170426,제주,제주특별자치도 서귀포시 용흥로66번길 158-7 (강정동),토스카나호텔 수영장
수영장업,2013,20131219,폐업,2017,20170526,제주,제주특별자치도 서귀포시 김정문화로 15 (강정동),호텔빠레브 수영장
수영장업,2005,20050810,폐업,2017,20170727,전라,전라북도 정읍시 고부면 입석4길 53,황토현 푸른터
수영장업,2000,20001228,폐업,2017,20170804,전라,전라북도 정읍시 정읍사로 547 (시기동),YMCA청소년수련관
수영장업,2004,20040812,폐업,2017,20170908,전라,"전라북도 전주시 완산구 용리로 143 (삼천동1가, 삼익수영장)",삼익수영장
수영장업,2015,20150618,폐업,2017,20170524,대구,"대구광역시 서구 문화로 322, 5층 (비산동)",엠스포짐
썰매장업,2016,20161223,폐업,2017,20170424,경상,경상남도 하동군 악양면 섬진강대로 3145-1,하동 팡팡눈썰매 페스티벌
썰매장업,2014,20141229,폐업,2017,20170405,경기,경기도 평택시 진위면 진위서로 264-15,진위천시민유원지눈썰매장
썰매장업,2016,20160504,폐업,2017,20170424,경기,경기도 포천시 내촌면 금강로2536번길 27,(주)예지실업 베어스타운 리조트
썰매장업,2003,20030422,폐업,2017,20170103,경기,"경기도 파주시 동서대로 700 (야당동, 아미가골프연습장)",빅토리눈썰매장
썰매장업,2016,20161212,폐업,2017,20171213,충청,"충청북도 충주시 남한강로 26 (금릉동, 충주세계무술박물관)",충주세계무술공원 눈썰매장
썰매장업,2017,20170106,폐업,2017,20170317,경상,"경상남도 창원시 의창구 원이대로 362 (대원동, 창원컨벤션센터 1,2전시장내)",상상체험키즈월드 시즌4
썰매장업,2017,20170103,폐업,2017,20170419,대전,"대전광역시 유성구 엑스포로 87 (도룡동, 대전무역전시관)",대전무역전시관 썰매장
썰매장업,2015,20151217,폐업,2017,20170118,경기,경기도 화성시 향남읍 향남로 470 (화성종합경기타운),(주)클린화성
썰매장업,2010,20100723,폐업,2017,20170317,경기,경기도 안성시 삼죽면 서동대로 5970-11,늘 징글벨랜드
썰매장업,2016,20161216,폐업,2017,20171207,강원,"강원도 태백시 서학로 861 (황지동, 오투리조트)",O2눈썰매장
썰매장업,2012,20120105,폐업,2017,20170614,부산,부산광역시 북구 덕천로 0 (덕천동),아이스 온 아트
썰매장업,2016,20161214,폐업,2017,20170329,경기,"경기도 과천시 상하벌로 110 (과천동, 국립과천과학관)",국립과천과학관 겨울이야기 눈썰매장
썰매장업,2016,20161229,폐업,2017,20170616,서울,"서울특별시 영등포구 여의공원로 68 (여의도동, 여의도공원, 문화의마당)",여의 아이스파크
썰매장업,2015,20151223,폐업,2017,20170308,인천,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",문학경기장 눈썰매장
썰매장업,2016,20161214,폐업,2017,20170518,인천,"인천광역시 연수구 센트럴로 123, 1층 (송도동, 송도컨벤시아)",송도실내썰매&키즈플렉스
썰매장업,2017,20170112,폐업,2017,20170414,전라,전라남도 무안군 삼향읍 남악로162번길 80,키즈 썰매장
썰매장업,2017,20170112,폐업,2017,20170321,경상,경상남도 고성군 회화면 당항만로 1116,고성 팡팡눈썰매 페스티벌
썰매장업,2016,20161205,폐업,2017,20170309,경기,"경기도 고양시 일산서구 한류월드로 408 (대화동, 원마운트)",상상체험 키즈월드 실내썰매 시즌4
썰매장업,2012,20121214,폐업,2017,20170323,전라,전라북도 고창군 고창읍 석정2로 207-46,(주)서울시니어스 엠앤에스 고창
썰매장업,2015,20151222,폐업,2017,20170321,충청,충청남도 당진시 신평면 서해안고속도로 276 (모다아울렛),행담도 눈썰매 축제
썰매장업,2001,20011219,폐업,2017,20170804,경상,경상남도 창녕군 부곡면 온천중앙로 77 (외2필지),부곡하와이또기눈썰매장
무도장업,2007,20070622,폐업,2017,20171102,서울,서울특별시 동대문구 고미술로 99 (답십리동),제니아무도장
무도장업,2006,20060403,폐업,2017,20170222,충청,"충청남도 서산시 번화2로 34, 지하층 (동문동)",다솔댄스학원
