개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,1997,19970927,폐업,2016,20160129,서울,"서울특별시 노원구 한글비석로 383 (중계동,(지층))",삼창타워스포츠
수영장업,1996,19960513,폐업,2016,20160720,서울,서울특별시 노원구 화랑로 653 (공릉동),이스턴캐슬수영장
수영장업,2004,20041008,폐업,2016,20160202,경기,경기도 용인시 수지구 문정로7번길 15 (풍덕천동),용인시 여성회관 YMCA 스포츠센터
수영장업,1993,19930322,폐업,2016,20160607,경기,경기도 평택시 평택3로 5  (합정동),새샘스포렉스
수영장업,2002,20021113,폐업,2016,20160316,경기,경기도 평택시 팽성읍 팽성송화로 63,제일스포츠센터
수영장업,2004,20040712,폐업,2016,20160418,경기,경기도 양평군 용문면 용문로164번길 42 (외2필지),SN 수련원
수영장업,1996,19961031,폐업,2016,20160603,경기,경기도 양평군 용문면 상광길 23-6,광탄레져파크
수영장업,2004,20040520,폐업,2016,20161123,서울,"서울특별시 광진구 아차산로78길 44, 지하2층 6호 (광장동, 크레스코빌딩)",포슬렌챌린지키즈수영장
수영장업,1995,19950919,폐업,2016,20160615,서울,서울특별시 동대문구 망우로 123  (휘경동),우창실내수영장
수영장업,2015,20150908,폐업,2016,20161107,서울,"서울특별시 도봉구 덕릉로63가길 61, 3층 (창동, 창동대우아파트 상가)",대우스포츠센터
수영장업,1997,19970715,폐업,2016,20160627,울산,울산광역시 동구 방어진순환도로 100 (방어동),한우리수영장
수영장업,2016,20160706,폐업,2016,20161219,경기,"경기도 과천시 광명로 181 (막계동, 서울랜드)",서울랜드 야외수영장
수영장업,1998,19980923,폐업,2016,20160315,경기,경기도 화성시 화산중앙로 18  (안녕동),화성스포츠센터수영장
수영장업,2015,20150528,폐업,2016,20161104,경기,"경기도 군포시 번영로 504, 지하층 (산본동, 산본쇼핑센터 )",산본스파랜드
수영장업,2000,20000321,폐업,2016,20161231,강원,강원도 강릉시 성덕포남로188번길 2 (포남동),강남스포츠센터
수영장업,2013,20130801,폐업,2016,20160811,경기,경기도 가평군 가평읍 북한강변로 382,클럽인너
수영장업,2004,20040702,폐업,2016,20160721,인천,인천광역시 강화군 내가면 고비고개로741번길 107 (바다의별청소년수련원),바다의별 청소년수련원
수영장업,2006,20061009,폐업,2016,20160613,전라,"전라남도 목포시 양을로41번길 24 (산정동, 중앙하이츠)",(주)산정스포렉스
수영장업,1999,19990910,폐업,2016,20160608,경상,경상북도 영주시 장수면 충효로2032번길 46,장수관광농원 수영장
수영장업,2011,20110930,폐업,2016,20161102,경기,"경기도 고양시 일산동구 일산로 197, 5001호 (마두동, 센타21)",백마 수영장
수영장업,2003,20030709,폐업,2016,20160218,경상,"경상남도 김해시 내외로77번길 12,  1601호 (내동,경보스포츠프라자)",경보수영장
골프장,2011,20110129,폐업,2016,20160325,경기,경기도 안성시 죽산면 녹배길 175,에덴블루C.C
썰매장업,1996,19961231,폐업,2016,20160215,충청,충청남도 아산시 염치읍 충무로358번길 75,아산눈썰매장
썰매장업,2015,20151221,폐업,2016,20160302,경상,"경상남도 창원시 의창구 원이대로 362 (대원동, 창원컨벤션센터 제1전시장)",상상체험키즈월드 시즌2
썰매장업,2005,20051223,폐업,2016,20160720,서울,서울특별시 노원구 화랑로 681 (공릉동),태릉눈썰매장
썰매장업,2015,20151229,폐업,2016,20160314,대전,"대전광역시 유성구 엑스포로 87 (도룡동, 대전무역전시관)",대전무역전시관눈썰매장
썰매장업,2002,20020108,폐업,2016,20161011,강원,강원도 강릉시 두산길 156-7 (병산동),공항눈썰매장
썰매장업,2016,20160729,폐업,2016,20161229,부산,"부산광역시 해운대구 해운대해변로 264 (우동, 해운대관광봉사센타)",주식회사 해라
썰매장업,2015,20151231,폐업,2016,20161206,부산,"부산광역시 해운대구 APEC로 55, 5C호 (우동, 벡스코)",2016 버블과 함께하는 실내썰매
