개방서비스명,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,폐업,2020,20200813,경기,"경기도 동두천시 광암로17번길 10 (광암동,T.S 레져피아 지하2층)",T.S 레져피아수영장
수영장업,폐업,2020,20200827,경기,경기도 동두천시 삼육사로 1662-12 (탑동동),왕방산수영장
수영장업,폐업,2016,20161104,경기,"경기도 군포시 번영로 504, 지하층 (산본동, 산본쇼핑센터 )",산본스파랜드
수영장업,폐업,2020,20200721,강원,강원도 횡성군 둔내면 고원로 451,웰리힐리수영장
수영장업,폐업,2016,20161231,강원,강원도 강릉시 성덕포남로188번길 2 (포남동),강남스포츠센터
수영장업,폐업,2019,20191101,부산,"부산광역시 해운대구 세실로 137 (좌동, 지하1층)",해운대 생활체육센타
수영장업,폐업,2019,20190116,부산,부산광역시 해운대구 해운대해변로 292  (중동),노보텔엠배서더 부산수영장
수영장업,폐업,2019,20191231,부산,부산광역시 해운대구 해운대해변로 217 (우동),소수영장
수영장업,폐업,2019,20191101,부산,부산광역시 해운대구 해운대해변로 217 (우동),그랑풀수영장
수영장업,폐업,2018,20181031,대전,대전광역시 서구 남선로 66 (탄방동),남선공원종합체육관수영장
수영장업,폐업,2020,20201116,경기,"경기도 고양시 일산동구 중산로 60, 지하층 B202호 (중산동, 일산2차아이파크)",킨더벨트 키즈스포짐
수영장업,폐업,2019,20190220,경상,"경상북도 포항시 북구 삼흥로 87, 지하1층 (장성동, 장성리치프라자)",엘키즈풀
수영장업,폐업,2019,20190723,경기,경기도 안성시 금광면 현곡길 353,금광관광농원수영장
수영장업,폐업,2016,20160811,경기,경기도 가평군 가평읍 북한강변로 382,클럽인너
수영장업,폐업,2020,20200515,인천,"인천광역시 중구 용유서로 379 (을왕동, 골든스카이리조트)",골든웨이브
수영장업,폐업,2017,20170727,대구,대구광역시 달성군 다사읍 달구벌대로 790,삼산스포츠
수영장업,폐업,2018,20180801,강원,강원도 원주시 문막읍 건등로 21,원주농민문화체육센타
수영장업,폐업,2018,20180423,강원,강원도 원주시 지정면 오크밸리1길 70,오크밸리수영장(실외)
수영장업,폐업,2018,20180601,강원,강원도 인제군 북면 십이선녀탕길 165,(주)미리내 캠프
수영장업,폐업,2018,20180801,강원,강원도 원주시 남원로 551 (명륜동),원주국민체육센터
수영장업,폐업,2017,20170914,강원,강원도 원주시 흥업면 무수막1길 44,연세스포츠센터수영장
수영장업,폐업,2017,20170613,서울,서울특별시 송파구 양재대로72길 17 (오금동),퍼니퍼니
수영장업,폐업,2020,20200323,서울,서울특별시 양천구 목동서로 293 (신정동),이노스베이 어린이 수상안전교육센타
수영장업,폐업,2017,20171026,서울,"서울특별시 관악구 조원로 67, 지층 (신림동, 서울조원초등학교)",한국체육산업개발 주식회사
