개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,2014,20140722,폐업,2019,20191119,경기,경기도 양평군 개군면 신내길7번길 55,(주)대명호텔앤리조트 양평지점 실외수영장
수영장업,2006,20060106,폐업,2019,20190820,경기,경기도 이천시 모가면 사실로 984 (테르메덴),이천테르메덴(실외)
수영장업,2018,20180611,폐업,2019,20191231,충청,"충청북도 충주시 삼원로 128, 삼원초등학교 (봉방동)",충주수영장
수영장업,2015,20150727,폐업,2019,20190531,세종,"세종특별자치시 금남면 용포2길 7, 1층",주식회사 마린스위밍풀
수영장업,2007,20070129,폐업,2019,20190828,충청,충청남도 서산시 안견로 661 (갈산동),서산국민체육센터
수영장업,2004,20040707,폐업,2019,20191011,충청,충청남도 금산군 추부면 성당로 247,서대산드림리조트
수영장업,2001,20010330,폐업,2019,20190909,충청,충청남도 아산시 음봉면 아산온천로157번길 67,금호리조트(주)아산스파비스(실내수영장)
수영장업,1998,19981109,폐업,2019,20191231,강원,강원도 동해시 일출로 151 (묵호진동),삼양비치실내수영장
수영장업,2015,20150702,폐업,2019,20190910,경상,"경상남도 김해시 진영읍 본산1로 29, C동 1층",거산수영장
수영장업,2017,20170713,폐업,2019,20190810,부산,"부산광역시 북구 강변대로 1629 (덕천동, 화명수상레포츠타운)",시스타
수영장업,2013,20130621,폐업,2019,20190329,서울,"서울특별시 마포구 독막로 288, 지하1층 B04호 (대흥동, 세양아파트)",아이월드
수영장업,2001,20010627,폐업,2019,20190521,충청,충청북도 진천군 문백면 봉죽2길 20-78,샘터 수영장
수영장업,2005,20050223,폐업,2019,20190125,경기,경기도 수원시 팔달구 인계로 154  (인계동),휘트니스센타PG
수영장업,2003,20030120,폐업,2019,20190214,경기,경기도 수원시 팔달구 효원로 288 (인계동),트레보휘트니스
수영장업,2018,20180802,폐업,2019,20190211,경기,경기도 안성시 공도읍 기업단지로 64-3,헤움 어린이 수영장
수영장업,2007,20071016,폐업,2019,20191101,부산,"부산광역시 해운대구 세실로 137 (좌동, 지하1층)",해운대 생활체육센타
수영장업,2002,20020430,폐업,2019,20190116,부산,부산광역시 해운대구 해운대해변로 292  (중동),노보텔엠배서더 부산수영장
수영장업,1998,19980324,폐업,2019,20191231,부산,부산광역시 해운대구 해운대해변로 217 (우동),소수영장
수영장업,1998,19980324,폐업,2019,20191101,부산,부산광역시 해운대구 해운대해변로 217 (우동),그랑풀수영장
수영장업,2017,20170811,폐업,2019,20190220,경상,"경상북도 포항시 북구 삼흥로 87, 지하1층 (장성동, 장성리치프라자)",엘키즈풀
수영장업,1996,19960725,폐업,2019,20190723,경기,경기도 안성시 금광면 현곡길 353,금광관광농원수영장
수영장업,2008,20080714,폐업,2019,20190325,경기,경기도 김포시 월곶면 군하로 65,김포스파월드
수영장업,2017,20170727,폐업,2019,20190710,경기,"경기도 시흥시 서해안로 900 (월곶동, 시흥에코피아주식회사)",월곶에코피아 워터파크
수영장업,1995,19950330,폐업,2019,20191227,인천,"인천광역시 연수구 청학로 49 (청학동, 청학풀장)",청학풀장
수영장업,1998,19980718,폐업,2019,20190118,인천,인천광역시 강화군 내가면 고비고개로 663,삼별초수영장
수영장업,2019,20190712,폐업,2019,20190818,서울,"서울특별시 도봉구 도봉로168길 30, 성균관대학교종합운동장 (도봉동)",도봉구 야외수영장
수영장업,2019,20190718,폐업,2019,20190902,충청,충청북도 제천시 동명로 77 (명동),제천시야외물놀이장
수영장업,2002,20021211,폐업,2019,20190424,경상,경상북도 구미시 금오산로 217-16 (남통동),J스포렉스
수영장업,2019,20190724,폐업,2019,20191223,경상,경상북도 경주시 경감로 614 (천군동),경주엑스포 여름 Pool 축제
수영장업,2007,20070308,폐업,2019,20190611,대구,"대구광역시 수성구 상화로5길 40, 지하층 (상동, 대구수성초등학교)",수성수영장
수영장업,2019,20190613,폐업,2019,20190704,제주,제주특별자치도 제주시 한경면 낙수로 271-40,돌하르방 캠핑장
수영장업,2017,20170622,폐업,2019,20191107,제주,제주특별자치도 제주시 한경면 판조로 253-6,(주)비체올린 수영장
수영장업,2006,20060425,폐업,2019,20191016,경상,"경상북도 경주시 보문로 402-12 (신평동,대명리조트 지하 1층)",(주)대명호텔앤리조트 경주지점
수영장업,1999,19991220,폐업,2019,20190702,경상,경상북도 경주시 불국로 289-17 (마동),코오롱엘에스아이(주) 코오롱호텔 실외수영장
수영장업,2005,20050630,폐업,2019,20191231,강원,강원도 동해시 일출로 151 (묵호진동),삼양비치 해수수영장
수영장업,2008,20080707,폐업,2019,20190228,경상,경상남도 창원시 마산합포구 진북면 진북산업로 308,진북황실온천
골프장,1991,19910304,폐업,2019,20190502,경기,경기도 포천시 내촌면 금강로2536번길 27,(주)예지실업 베어스타운 일반대중골프장
썰매장업,2018,20181207,폐업,2019,20190321,경기,"경기도 고양시 일산서구 킨텍스로 217-60, 킨텍스 킨텍스 제1전시장 2홀호 (대화동)",실내썰매 키즈월드
썰매장업,2018,20181214,폐업,2019,20190704,경기,"경기도 과천시 광명로 181, 서울랜드 (막계동)",서울랜드 눈썰매장
썰매장업,2018,20181220,폐업,2019,20190314,인천,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학경기장 눈썰매장
썰매장업,2018,20181206,폐업,2019,20190308,인천,"인천광역시 연수구 센트럴로 123, 송도컨벤시아 3홀 (송도동)",상상체험 키즈월드 실내썰매
썰매장업,2018,20181213,폐업,2019,20190312,경기,"경기도 시흥시 서해안로 900, 시흥에코피아주식회사 (월곶동)",월곶에코피아눈썰매장
썰매장업,2019,20190103,폐업,2019,20190528,충청,충청북도 충주시 중앙탑면 중앙탑길 42,중앙탑 키즈 사계절 썰매장
썰매장업,2018,20181228,폐업,2019,20190327,경기,경기도 평택시 진위면 진위서로 264-15,진위천 유원지 눈썰매장
썰매장업,1999,19990107,폐업,2019,20191127,경기,경기도 평택시 안중읍 오성서로 116-20,황금눈설매장
썰매장업,1998,19980121,폐업,2019,20191218,경상,경상남도 창원시 진해구 여좌로63번길 20-8 (여좌동),주)서진
썰매장업,2015,20151218,폐업,2019,20190404,서울,"서울특별시 광진구 능동로 216 (능동, 어린이대공원)",어린이대공원아이랜드(주)
썰매장업,1996,19960801,폐업,2019,20190111,강원,강원도 평창군 봉평면 태기로 174,루지썰매(하계)
썰매장업,2018,20180629,폐업,2019,20190328,강원,"강원도 평창군 대관령면 올림픽로 715, 용평리조트",(주)씨앤에스이벤트 루지코리아
썰매장업,1998,19981211,폐업,2019,20191206,강원,강원도 원주시 지정면 신평석화로 236,동서울레스피아 사계절레일썰매장
썰매장업,2018,20180725,폐업,2019,20190228,대구,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 1층 3호 (산격동)",라이키즈
썰매장업,2019,20190726,폐업,2019,20190820,대전,대전광역시 유성구 가정로 120 (신성동),유성구 어린이 물썰매장
썰매장업,2019,20190703,폐업,2019,20190831,경상,경상북도 구미시 낙동제방길 200 (양호동),구미시낙동강야외물놀이장(썰매장)
썰매장업,2019,20190723,폐업,2019,20191010,인천,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학워터파크
썰매장업,2012,20121224,폐업,2019,20190721,전라,전라북도 정읍시 산내면 산호수길 228,로하스 영농조합법인 눈썰매장
썰매장업,2019,20190108,폐업,2019,20190226,경기,"경기도 부천시 소사로 482, 부천종합운동장,국궁장,체육관 (춘의동)",부천종합운동장 눈썰매장(콤마156 주식회사)
썰매장업,2018,20181227,폐업,2019,20190224,서울,"서울특별시 도봉구 도봉로168길 30, 성균관대학교종합운동장 (도봉동)",도봉튜빙눈썰매장
썰매장업,1996,19961221,폐업,2019,20191210,충청,충청남도 예산군 덕산면 윤봉길로 366-11,삼원레저타운
무도장업,2009,20090810,폐업,2019,20190213,경기,"경기도 파주시 금정18길 15 (금촌동,3층)",태평양무도장
무도장업,1999,19990521,폐업,2019,20190422,경기,"경기도 안양시 동안구 관평로182번길 23, B202, B203호 (관양동, 무지개상가)",동경 무도장
무도장업,2016,20160816,폐업,2019,20190925,충청,"충청북도 청주시 상당구 월평로184번길 141, 3층 (용암동)",코리아댄스클럽(콜라텍)
무도장업,2003,20030415,폐업,2019,20190106,충청,충청북도 제천시 용두천로 64 (화산동),신세계무도장
