개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,2018,20180208,폐업,2018,20180228,서울,"서울특별시 강서구 마곡서로 133, 704동 지하2층 101호 (마곡동, 마곡엠밸리7단지)",M밸리레포츠
수영장업,2010,20100722,폐업,2018,20180209,경기,경기도 여주시 세종로 317 (교동),여주황학산유스호스텔 수영장
수영장업,1994,19940825,폐업,2018,20180918,경기,경기도 평택시 평남로 616 (합정동),평택시수영장
수영장업,2005,20050801,폐업,2018,20180919,경기,경기도 평택시 안중읍 서동대로 1531,서평택국민체육센터
수영장업,2003,20031011,폐업,2018,20180921,경기,경기도 평택시 장안웃길 149 (이충동),이충문화체육센터 수영장
수영장업,2012,20120704,폐업,2018,20180125,충청,충청북도 충주시 국원대로 35 (봉방동),충주수영장
수영장업,1996,19960625,폐업,2018,20180405,충청,충청남도 예산군 덕산면 온천단지3로 84,덕산싸이판수영장
수영장업,2012,20120730,폐업,2018,20181204,서울,서울특별시 노원구 한글비석로 232 (중계동),더 코치스
수영장업,2018,20180723,폐업,2018,20180824,서울,"서울특별시 도봉구 노해로69길 132, 창동운동장 및 문화체육센터 (창동)",에스티산업주식회사
수영장업,1999,19990705,폐업,2018,20180727,서울,"서울특별시 도봉구 도당로 10 (쌍문동,4필지)",명성스포츠(수영장)
수영장업,1997,19970715,폐업,2018,20181130,울산,울산광역시 동구 방어진순환도로 875 (전하동),호텔현대수영장
수영장업,2005,20050615,폐업,2018,20181218,경기,"경기도 수원시 권선구 매송고색로 755, 중앙스포츠랜드 (고색동)",중앙스포츠랜드
수영장업,2017,20170602,폐업,2018,20180913,충청,"충청북도 청주시 흥덕구 가로수로 969, 1층 (휴암동, 청주시 푸르미스포츠센터)",푸르미 스포츠센터
수영장업,2011,20110729,폐업,2018,20180129,강원,강원도 정선군 사북읍 하이원길 265 (마운틴콘도 야외수영장),마운틴콘도 조립식 수영장
수영장업,1991,19910801,폐업,2018,20181220,강원,강원도 고성군 토성면 미시령옛길 1153,(주)대명호텔앤리조트 설악지점 아쿠아월드 실외수영장
수영장업,2002,20020902,폐업,2018,20180103,대구,대구광역시 달서구 와룡로 143 (감삼동),드림시티스포츠센터
수영장업,2002,20020903,폐업,2018,20181031,대전,대전광역시 서구 남선로 66 (탄방동),남선공원종합체육관수영장
수영장업,2001,20011127,폐업,2018,20180801,강원,강원도 원주시 문막읍 건등로 21,원주농민문화체육센타
수영장업,1998,19980711,폐업,2018,20180423,강원,강원도 원주시 지정면 오크밸리1길 70,오크밸리수영장(실외)
수영장업,2007,20070628,폐업,2018,20180601,강원,강원도 인제군 북면 십이선녀탕길 165,(주)미리내 캠프
