개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
무도장업,2000,20000927,폐업,2020,20200518,경기,"경기도 이천시 어재연로10번길 43, 소망빌딩 (중리동)",국제무도장
무도장업,2004,20040120,폐업,2020,20200130,충청,충청남도 태안군 태안읍 군청7길 13-10,제일무도장
무도장업,2004,20041005,폐업,2020,20201222,서울,"서울특별시 강북구 도봉로 342, 정준빌딩 지하2층 (번동)",(주)벌리
무도장업,2010,20100112,폐업,2020,20200303,전라,전라북도 익산시 중앙로1길 50  (남중동),스카라무도장
무도장업,2006,20060102,폐업,2020,20200624,서울,서울특별시 중랑구 중랑역로 262 (묵동),동양 무도장
무도장업,2020,20200131,폐업,2020,20200303,경기,경기도 양평군 양평읍 공흥로 33,양평무도장
무도장업,2003,20030528,폐업,2020,20200803,경기,경기도 광명시 광명로 910 (광명동),동서 무도장
무도장업,2010,20100726,폐업,2020,20200529,경기,"경기도 성남시 분당구 성남대로 30 (구미동,동아그린프라지 지하1층 B03,B04,B05일부,B07일부,B08~B30)",모아락무도장
무도장업,2019,20190910,폐업,2020,20200303,서울,"서울특별시 동대문구 고미술로 100, 지하 1층 (답십리동)",아가페무도장
무도장업,2008,20081210,폐업,2020,20200511,경상,경상북도 구미시 구미중앙로42길 6 (송정동),오성무도장
빙상장업,2005,20051125,폐업,2020,20200218,대구,대구광역시 달성군 가창면 가창로 891,스파밸리 빙상장
빙상장업,2008,20080107,폐업,2020,20200326,경기,경기도 용인시 처인구 포곡읍 에버랜드로 199 (삼성에버랜드),에버랜드 매직 아이스링크
빙상장업,2015,20151230,폐업,2020,20200309,강원,강원도 정선군 사북읍 하이원길 265 (강원랜드),(주)강원랜드
빙상장업,2008,20080125,폐업,2020,20200813,경기,경기도 동두천시 상패로 69 (상패동),동두천 국제 컬링 경기장
빙상장업,2020,20200110,폐업,2020,20200210,충청,충청남도 홍성군 홍성읍 홍덕서로 78,홍성군 야외스케이트장(주-세항이엔지)
빙상장업,2019,20191206,폐업,2020,20200219,서울,"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",코엑스 K-POP광장 아이스런
빙상장업,2019,20191203,폐업,2020,20200212,경상,"경상남도 진주시 남강로 1655, 진주실내체육관 옆 (초전동)",진주시 야외스케이트장
빙상장업,2020,20200103,폐업,2020,20200304,충청,"충청남도 천안시 동남구 천안대로 844, 도솔광장 (신부동)",도솔광장 야외스케이트장
빙상장업,2020,20200103,폐업,2020,20200304,충청,"충청남도 천안시 서북구 번영로 208, 종합운동장(오륜문광장) (백석동)",천안종합운동장야외스케이트장
빙상장업,2019,20191218,폐업,2020,20200204,충청,충청북도 제천시 동명로 77 (명동),제천시야외스케이트장
빙상장업,2019,20191224,폐업,2020,20200306,세종,"세종특별자치시 한누리대로 2130, 세종시청 (보람동)",주식회사 알앤알스포츠
빙상장업,2019,20191217,폐업,2020,20200306,서울,"서울특별시 서초구 신반포로 194, 강남고속버스터미널 (반포동)",서초아이스링크
빙상장업,2019,20191217,폐업,2020,20200205,서울,"서울특별시 송파구 올림픽로 424, 올림픽공원 (방이동)",올림픽공원 스케이트장
요트장업,2014,20140211,폐업,2020,20200507,경상,경상남도 통영시 한산면 두억로 348-23,(주)한산마리나리조트연수센터
무도학원업,1992,19920220,폐업,2020,20200528,서울,"서울특별시 강남구 선릉로 435 (역삼동,4층)",선능무도학원(9)
무도학원업,2006,20060427,폐업,2020,20200803,경기,경기도 안양시 동안구 경수대로 566 (호계동),청목무도학원
무도학원업,2002,20021127,폐업,2020,20200304,경기,"경기도 안양시 만안구 만안로 21, 3층 (안양동)",댄스스포츠학원
무도학원업,2008,20080616,폐업,2020,20200326,경기,"경기도 양주시 덕정길 27  (덕정동,2층)",예성 댄스스포츠
무도학원업,2003,20030108,폐업,2020,20200312,충청,"충청남도 서산시 시장4길 26, 3층 (동문동)",서령무도학원
무도학원업,1992,19920515,폐업,2020,20200211,경상,"경상남도 창원시 마산회원구 석전동8길 64, 지하 1층 (석전동)",현대무도학원
무도학원업,1998,19980609,폐업,2020,20200203,부산,"부산광역시 수영구 수영로 585 (광안동,2층)",롯데무도학원
무도학원업,2008,20080319,폐업,2020,20200324,대구,대구광역시 북구 팔달로 215 (노원동2가),옥이무도학원
무도학원업,1996,19960513,폐업,2020,20200701,대구,대구광역시 북구 노원로 20 (노원동3가),대한무도학원
무도학원업,2001,20010611,폐업,2020,20200911,충청,"충청북도 청주시 흥덕구 사직대로 18, 2층호 (복대동)",프론티어댄스스포츠
무도학원업,2018,20181018,폐업,2020,20200907,부산,"부산광역시 동구 범일로90번길 9, 용두빌딩 5층 (범일동)",한국댄스스포츠학원
무도학원업,2012,20120904,폐업,2020,20200710,인천,"인천광역시 계양구 오조산로57번길 15, 명동프라자 503호 (계산동)",박인구 무도학원
무도학원업,2017,20171107,폐업,2020,20200303,서울,서울특별시 동대문구 고미술로 99 (답십리동),아가페
무도학원업,2002,20020624,폐업,2020,20200110,서울,"서울특별시 강서구 곰달래로 58 (화곡동,2층)",경춘무도학원
무도학원업,2009,20090901,폐업,2020,20200219,서울,서울특별시 강동구 진황도로 103 (길동),파도 스포츠 댄스 학원
무도학원업,2000,20000501,폐업,2020,20201229,서울,"서울특별시 강북구 덕릉로 79 (수유동,3층)",대한무도학원
무도학원업,2016,20161012,폐업,2020,20200312,충청,충청북도 영동군 영동읍 영산로1길 12,영동무도학원
무도학원업,2003,20031022,폐업,2020,20200131,충청,충청북도 충주시 충인1길 42 (충인동),한국무도학원
무도학원업,2000,20000512,폐업,2020,20200320,부산,부산광역시 중구 자갈치로 22-1 (남포동6가),현대 댄스스포츠
무도학원업,1998,19980727,폐업,2020,20200326,부산,부산광역시 북구 시장갓길 60 (구포동),구포 리듬짝
